algoritmo,vencedor,estador_visitados,tempo(ms),profundidade
iterativeDeeping,,76150,2395.91,8
alfa-beta,,119085,2927.32,8
iterativeDeeping,,88280,2324.47,8
alfa-beta,,72541,2148.5,8
iterativeDeeping,,99306,3000.4,8
alfa-beta,,113270,3000.53,8
iterativeDeeping,,100558,3000.57,8
alfa-beta,,80026,2049.43,8
iterativeDeeping,,115912,3000.32,8
alfa-beta,,101877,3000.69,8
iterativeDeeping,,112230,3000.47,8
alfa-beta,,68413,1727.88,8
iterativeDeeping,,74609,1776.54,8
alfa-beta,,65544,1813.83,8
iterativeDeeping,,42813,1098.98,8
alfa-beta,,18876,448.57,8
iterativeDeeping,,23352,555.5,8
alfa-beta,,8898,211.2,8
iterativeDeeping,,8681,193.85,8
alfa-beta,,4496,94.23,8
iterativeDeeping,,6581,143.68,8
alfa-beta,,4023,88.46,8
iterativeDeeping,,5158,140.98,8
alfa-beta,,2059,48.71,8
iterativeDeeping,,3309,68.37,8
alfa-beta,,1498,26.02,8
iterativeDeeping,,2161,39.61,8
alfa-beta,,741,11.49,8
iterativeDeeping,,729,11.91,8
alfa-beta,,121,1.98,8
iterativeDeeping,,236,4.41,8
alfa-beta,,38,0.63,8
iterativeDeeping,,176,2.31,8
alfa-beta,,17,0.23,8
iterativeDeeping,,104,2.2,8
alfa-beta,,11,0.22,8
iterativeDeeping,,26,0.49,8
alfa-beta,,3,0.08,8
iterativeDeeping,,15,0.26,8
alfa-beta,,1,0.05,8
alfa-beta,,52568,2068.4,8
iterativeDeeping,,120351,3000.62,8
alfa-beta,,56491,1519.59,8
iterativeDeeping,,94736,2444.51,8
alfa-beta,,96348,2597.29,8
iterativeDeeping,,113659,3000.46,8
alfa-beta,,110368,2652.08,8
iterativeDeeping,,119452,3000.54,8
alfa-beta,,115431,3000.34,8
iterativeDeeping,,116849,3000.52,8
alfa-beta,,134991,3000.61,8
iterativeDeeping,,128774,3000.33,8
alfa-beta,,32795,723.58,8
iterativeDeeping,,127570,3000.31,8
alfa-beta,,28376,797.84,8
iterativeDeeping,,113236,2669.22,8
alfa-beta,,29490,644.15,8
iterativeDeeping,,26992,566.22,8
alfa-beta,,10580,256.44,8
iterativeDeeping,,9005,182.74,8
alfa-beta,,1805,33.98,8
iterativeDeeping,,4298,87.57,8
alfa-beta,,1466,29.55,8
iterativeDeeping,,2110,62.41,8
alfa-beta,,50759,1637.39,8
alfa-beta,,52568,1682.17,8
iterativeDeeping,,79454,2667.61,8
alfa-beta,,102885,2801.57,8
iterativeDeeping,,105426,3001.08,8
iterativeDeeping,,109183,3000.67,8
alfa-beta,,113768,3000.76,8
iterativeDeeping,,111182,3000.8,8
alfa-beta,,105268,2761.13,8
iterativeDeeping,,108367,3001.24,8
alfa-beta,,113208,3000.89,8
iterativeDeeping,,106325,3000.54,8
alfa-beta,,118634,3001.35,8
iterativeDeeping,,116428,3001.87,8
alfa-beta,,121579,3000.53,8
alfa-beta,,52568,2334.11,8
iterativeDeeping,,118170,3001.1,8
alfa-beta,,56491,1336.88,8
iterativeDeeping,,94736,2553.46,8
alfa-beta,,96348,2575.35,8
iterativeDeeping,,103890,3000.54,8
alfa-beta,,110368,2850.91,8
iterativeDeeping,,116607,3000.36,8
alfa-beta,,120273,3000.69,8
iterativeDeeping,,119154,3000.28,8
alfa-beta,,130961,3000.79,8
iterativeDeeping,,124432,3000.49,8
alfa-beta,,32795,799.86,8
iterativeDeeping,,122123,3000.48,8
alfa-beta,,28376,646.95,8
iterativeDeeping,,113236,2790.77,8
alfa-beta,,29490,664.21,8
iterativeDeeping,,26992,564.41,8
alfa-beta,,10580,237.96,8
iterativeDeeping,,9005,179.77,8
alfa-beta,,1805,35.9,8
iterativeDeeping,,4298,94.46,8
alfa-beta,,1466,33.55,8
iterativeDeeping,,2110,45.88,8
alfa-beta,,52568,2288.57,8
iterativeDeeping,,115177,3000.53,8
alfa-beta,,56491,1371.01,8
iterativeDeeping,,94736,2572.93,8
alfa-beta,,96348,2618.16,8
iterativeDeeping,,115528,3000.37,8
alfa-beta,,110368,2794.45,8
iterativeDeeping,,117780,3000.51,8
alfa-beta,,122224,3000.49,8
iterativeDeeping,,118528,3000.47,8
alfa-beta,,125968,3000.57,8
iterativeDeeping,,122346,3000.38,8
alfa-beta,,32795,834.04,8
iterativeDeeping,,119999,3000.72,8
alfa-beta,,28376,656.9,8
iterativeDeeping,,113236,2751.09,8
alfa-beta,,29490,664.48,8
iterativeDeeping,,26992,573.35,8
alfa-beta,,10580,231.85,8
iterativeDeeping,,9005,174.72,8
alfa-beta,,1805,35.99,8
iterativeDeeping,,4298,88.87,8
alfa-beta,,1466,30.8,8
iterativeDeeping,,2110,46.43,8
